11a153,"[1/2, 1/3, 9/7]"
11a161,"[1/2, 1/3, 2/9]"
11a165,"[2/3, 1/3, 5/4]"
11a181,"[2/3, 2/3, 7/3]"
11a187,"[2/3, 1/3, 8/5]"
11a194,"[1/3, 1/3, 5/8]"
11a198,"[1/3, 3/5, 3/5]"
11a199,"[2/3, 1/3, 4/7]"
11a200,"[1/3, 2/5, 2/5]"
11a201,"[2/3, 1/3, 4/5]"
11a202,"[2/3, 2/3, 3/7]"
11a214,"[2/3, 2/3, 1/5]"
11a219,"[1/3, 1/3, 5/7]"
11a221,"[1/2, 1/3, 9/5]"
11a222,"[1/2, 1/3, 11/7]"
11a223,"[1/3, 1/3, 3/8]"
11a231,"[1/2, 1/3, 2/3, 1/3]"
11a237,"[1/3, 1/3, 7/5]"
11a240,"[1/2, 1/3, 6/5]"
11a241,"[1/2, 1/3, 10/7]"
11a245,"[1/2, 1/3, 10/3]"
11a257,"[1/2, 1/3, 7/11]"
11a258,"[1/2, 1/3, 5/9]"
11a259,"[1/2, 1/3, 4/11]"
11a260,"[1/2, 1/3, 4/9]"
11a263,"[1/2, 1/3, 1/3, 1/3]"
11a338,"[1/3, 1/3, 5/4]"
11a340,"[1/3, 1/3, 7/4]"
11a361,"[1/3, 1/3, 3/7]"
11a362,"[1/3, 1/3, 1/5]"
11a366,"[1/3, 1/3, 7/3]"
11n1,"[1/2, 3/5, -5/7]"
11n2,"[1/2, 3/5, -2/7]"
11n3,"[1/2, -3/5, 5/7]"
11n12,"[1/2, -3/5, 2/7]"
11n13,"[1/2, 3/5, -4/5]"
11n14,"[1/2, 3/5, -1/5]"
11n15,"[1/2, -3/5, 4/5]"
11n16,"[1/2, 3/5, -4/7]"
11n17,"[1/2, 3/5, -3/7]"
11n18,"[1/2, -3/5, 4/7]"
11n19,"[1/2, -3/5, 1/5]"
11n20,"[1/2, -3/5, 3/7]"
11n28,"[1/2, 2/3, -7/9]"
11n29,"[1/2, 2/3, -2/9]"
11n30,"[1/2, -2/3, 7/9]"
11n38,"[1/2, -2/3, 2/9]"
11n48,"[2/3, -2/5, -3/4]"
11n49,"[2/3, -2/5, -1/4]"
11n50,"[2/3, -3/5, -2/5]"
11n51,"[1/2, 2/3, -8/11]"
11n52,"[1/2, 2/3, -3/11]"
11n53,"[1/2, -2/3, 8/11]"
11n54,"[1/2, 2/3, -8/13]"
11n55,"[1/2, 2/3, -5/13]"
11n56,"[1/2, -2/3, 8/13]"
11n57,"[1/2, -2/3, 3/11]"
11n58,"[1/2, 2/3, -7/11]"
11n59,"[1/2, 2/3, -4/11]"
11n60,"[1/2, -2/3, 7/11]"
11n61,"[1/2, -2/3, 5/13]"
11n62,"[1/2, 2/3, -5/9]"
11n63,"[1/2, 2/3, -4/9]"
11n64,"[1/2, -2/3, 5/9]"
11n70,"[1/2, -2/3, 4/11]"
11n71,"[1/2, 2/3, -2/3, 2/3]"
11n72,"[1/2, 2/3, 2/3, -1/3]"
11n73,"[1/2, 2/3, -2/3, -2/3]"
11n74,"[1/2, 2/3, -2/3, -1/3]"
11n75,"[1/2, 2/3, 2/3, -2/3]"
11n76,"[1/2, 2/3, -2/3, 1/3]"
11n77,"[1/2, 2/3, -1/3, -1/3]"
11n78,"[1/2, -2/3, 2/3, 1/3]"
11n79,"[1/2, -2/3, 4/9]"
11n81,"[1/2, -2/3, 1/3, 1/3]"
11n82,"[2/3, -3/5, 1/4]"
11n83,"[2/3, -3/5, 3/4]"
11n84,"[2/3, -3/5, 2/5]"
11n85,"[2/3, -2/3, 5/8]"
11n87,"[2/3, 2/3, -5/8]"
